,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
263,Gabi,100,PH,1562094405,69,7.61,126.06,75.99,2.46
264,Ilulissat,75,GL,1562094406,30,69.22,-51.1,55.4,12.75
265,Victoria Point,20,AU,1562094406,100,-27.58,153.3,59.0,9.17
266,Scarborough,51,GB,1562094406,67,54.28,-0.41,66.2,6.93
267,Simao,29,CN,1562094406,97,22.76,100.79,67.07,1.86
268,Mar del Plata,91,AR,1562094408,68,-46.43,-67.52,38.81,17.27
269,Porto Velho,40,BR,1562094317,49,-8.75,-63.87,91.4,4.7
270,Kiunga,89,PG,1562094408,99,-6.12,141.3,69.59,1.99
271,Vrede,0,ZA,1562094408,54,-27.43,29.16,37.01,3.85
272,Ust-Nera,94,RU,1562094408,91,64.57,143.24,47.09,5.17
273,Faanui,97,PF,1562094409,80,-16.48,-151.75,77.87,31.29
274,Pacific Grove,20,US,1562094409,67,36.62,-121.92,80.01,12.75
275,Praia da Vitoria,90,PT,1562094306,88,38.73,-27.07,75.0,9.95
276,Kon Tum,100,VN,1562094409,99,14.36,108.0,67.25,2.39
277,Constitucion,20,MX,1562094409,27,23.99,-104.67,78.01,6.93
278,Puerto Rico,98,CO,1562094410,97,1.91,-75.15,58.61,2.15
279,Luganville,20,VU,1562094410,94,-15.51,167.18,69.8,3.36
280,Bonnyville,90,CA,1562094410,62,54.27,-110.74,57.2,12.75
281,Pangnirtung,75,CA,1562094410,48,66.15,-65.72,60.8,19.46
282,Alekseyevka,0,RU,1562094411,52,53.25,50.49,69.8,3.42
283,Honiara,40,SB,1562094411,94,-9.43,159.96,75.2,6.49
284,Olinda,90,AU,1562094411,87,-37.84,145.39,51.01,2.24
285,Biak,100,ID,1562094411,98,-0.91,122.88,62.57,2.82
286,Nkowakowa,0,ZA,1562094412,51,-23.89,30.29,39.2,10.29
287,Axim,41,GH,1562094412,87,4.87,-2.24,78.41,9.91
288,East London,0,ZA,1562094412,32,-33.02,27.91,66.2,6.93
289,Rocha,100,UY,1562094412,66,-34.48,-54.34,54.29,16.6
290,Hunchun,50,CN,1562094413,98,42.86,130.36,58.25,2.62
291,Northam,4,AU,1562094413,93,-31.65,116.67,50.0,3.36
292,Leninsk,0,RU,1562094413,50,48.69,45.2,78.8,4.47
293,Kondinskoye,2,RU,1562094414,69,59.65,67.41,64.91,7.56
294,Almansa,20,ES,1562094414,37,38.87,-1.1,84.2,10.29
295,Yakeshi,48,CN,1562094414,57,49.28,120.73,57.71,3.36
296,Cairns,0,AU,1562094239,87,-16.92,145.77,60.8,5.82
297,Jalu,0,LY,1562094415,20,29.03,21.55,88.67,9.6
298,Petropavlovsk-Kamchatskiy,90,RU,1562094415,100,53.05,158.65,46.4,2.24
299,Pochutla,75,MX,1562094415,55,15.74,-96.47,91.99,4.25
300,Paralimni,0,GR,1562094415,52,40.99,23.67,84.0,2.91
301,Kimbe,17,PG,1562094415,93,-5.56,150.15,70.31,3.09
302,Makat,27,KZ,1562094416,61,47.65,53.35,74.63,15.37
303,Salalah,75,OM,1562094416,94,17.01,54.1,82.4,10.29
304,Ansbach,1,DE,1562094221,35,49.3,10.57,73.99,5.82
305,Rawson,37,AR,1562094416,62,-43.3,-65.11,40.79,29.84
306,Ranong,75,TH,1562094416,83,9.96,98.62,84.2,5.82
307,Talnakh,0,RU,1562094417,48,69.49,88.39,62.6,4.47
308,Hervey Bay,17,AU,1562094417,87,-25.3,152.85,57.2,5.82
309,Bathsheba,40,BB,1562094417,62,13.22,-59.52,87.8,18.34
310,Tura,37,RU,1562094417,59,64.27,100.22,55.73,4.76
311,Lata,21,IN,1562094418,82,30.78,78.62,40.43,2.33
312,Gritsovskiy,0,RU,1562094418,87,54.14,38.16,59.51,8.79
313,Kajiado,0,KE,1562094418,56,-1.85,36.79,69.8,5.82
314,Banting,75,MY,1562094420,88,2.82,101.5,80.6,2.24
315,Bujaru,40,BR,1562094420,66,-1.52,-48.04,87.8,4.7
316,Qeshm,0,IR,1562094420,79,26.96,56.27,91.4,11.41
317,Cabo San Lucas,5,MX,1562094178,65,22.89,-109.91,95.0,8.05
318,Santa Luzia,0,BR,1562094420,33,-19.77,-43.85,80.6,6.93
319,Kudahuvadhoo,100,MV,1562094421,64,2.67,72.89,83.81,4.72
320,Comodoro Rivadavia,40,AR,1562094421,75,-45.87,-67.48,42.8,12.75
321,Bemidji,1,US,1562094421,45,47.48,-94.89,84.99,4.7
322,Salo,0,FI,1562094421,50,60.38,23.13,57.99,10.29
323,Kavaratti,97,IN,1562094422,77,10.57,72.64,83.81,16.69
324,Jacareacanga,0,BR,1562094422,31,-6.22,-57.76,93.71,3.91
325,Nouadhibou,0,MR,1562094422,69,20.93,-17.03,73.4,18.34
326,Saskylakh,9,RU,1562094422,76,71.97,114.09,41.87,4.43
327,Miandrivazo,0,MG,1562094422,91,-19.53,45.46,70.67,2.53
328,Tehuacan,77,MX,1562094423,56,18.45,-97.38,75.0,5.01
329,Kaitangata,100,NZ,1562094423,72,-46.28,169.85,51.01,4.0
330,Cervo,20,BR,1562094423,49,-22.19,-46.24,71.6,9.22
331,Kisangani,47,CD,1562094424,61,0.52,25.21,79.13,1.5
332,Buin,40,CL,1562094424,39,-33.73,-70.74,60.8,4.7
333,Kailua,20,US,1562094424,78,21.39,-157.74,82.99,10.29
334,Cidreira,0,BR,1562094424,51,-30.17,-50.22,61.31,6.4
335,Xichang,85,CN,1562094424,94,27.88,102.25,60.41,2.04
336,Blackwater,68,GB,1562094425,52,51.33,-0.78,70.0,10.29
337,Teahupoo,75,PF,1562094425,83,-17.83,-149.27,75.2,4.7
338,Mizdah,2,LY,1562094425,39,31.45,12.98,84.35,30.85
339,Ambilobe,14,MG,1562094425,73,-13.19,49.05,71.93,5.79
340,Denpasar,40,ID,1562094426,88,-8.65,115.22,78.8,12.75
341,Hofn,49,IS,1562094426,78,64.25,-15.21,42.23,10.11
342,Hambantota,0,LK,1562094426,100,6.12,81.12,80.6,8.05
343,Bucerias,5,MX,1562094426,45,20.76,-105.33,90.0,13.87
344,Lichinga,1,MZ,1562094426,63,-13.3,35.25,69.05,4.74
345,Mubi,100,NG,1562094427,88,10.27,13.26,76.25,5.17
346,Neuquen,0,AR,1562094427,47,-38.95,-68.06,55.4,25.28
347,Okato,100,NZ,1562094427,88,-39.19,173.88,59.0,5.01
348,Rozivka,5,UA,1562094428,60,47.51,38.15,76.43,12.37
349,San Vicente,40,EC,1562094428,69,-0.59,-80.41,80.6,8.05
350,Abong Mbang,92,CM,1562094428,74,3.98,13.18,73.37,1.12
351,Opuwo,0,NA,1562094428,21,-18.06,13.84,62.21,8.66
352,Moose Jaw,75,CA,1562094260,55,50.4,-105.54,62.01,10.29
353,Poum,0,MK,1562094429,56,41.28,20.71,71.6,2.19
354,Norilsk,0,RU,1562094429,48,69.35,88.2,62.6,4.47
355,Panama City,1,US,1562094429,66,30.16,-85.65,93.99,13.87
356,Morgan City,90,US,1562094430,88,29.7,-91.21,86.0,8.05
357,Esna,5,RO,1562094430,74,45.2,27.57,78.8,4.7
358,Kawalu,97,ID,1562094430,89,-7.38,108.21,67.43,2.19
359,Sao Filipe,71,CV,1562094431,81,14.9,-24.5,73.55,18.45
360,Piranshahr,0,IR,1562094432,45,36.7,45.14,54.29,6.02
361,Darnah,0,LY,1562094432,74,32.77,22.64,76.79,10.83
362,Vardo,20,US,1562094432,46,39.62,-77.74,95.0,6.93
363,Mackenzie,1,CA,1562094432,48,55.34,-123.09,66.2,2.24
364,Bismarck,40,US,1562094305,58,46.81,-100.78,86.0,8.05
365,Walvis Bay,0,NA,1562094433,25,-22.95,14.51,75.2,6.93
366,Mobaye,13,CF,1562094433,92,4.33,21.18,74.27,2.91
367,Auki,50,NG,1562094434,51,12.18,6.51,89.03,8.63
368,Beibei,0,CN,1562094309,65,29.83,106.43,82.4,6.71
369,Half Moon Bay,20,US,1562094223,82,37.46,-122.43,73.99,12.75
370,Santa Cruz de la Palma,40,ES,1562094434,69,28.68,-17.76,73.4,18.34
371,Farmington Hills,75,US,1562094434,51,42.49,-83.38,91.0,10.29
372,Sistranda,40,NO,1562094435,81,63.73,8.83,48.0,17.22
373,Athabasca,71,CA,1562094435,60,54.72,-113.29,57.17,14.74
374,Sovetskaya,0,RU,1562094435,4,44.78,41.17,75.0,4.0
375,Faya,5,SA,1562094435,50,18.39,42.45,78.8,5.77
376,Minab,0,IR,1562094436,79,27.15,57.07,91.4,11.41
377,Ketchikan,90,US,1562094436,82,55.34,-131.65,60.8,6.93
378,Port Hardy,90,CA,1562094436,87,50.7,-127.42,57.2,3.36
379,Iquitos,75,PE,1562094436,83,-3.75,-73.25,80.6,11.41
380,Letterkenny,40,IE,1562094168,67,54.95,-7.73,59.0,11.41
381,Erzin,0,TR,1562094437,69,36.95,36.2,81.0,4.7
382,Garissa,0,KE,1562094437,53,-0.46,39.64,80.03,20.22
383,Sengiley,40,RU,1562094437,64,53.96,48.79,68.0,4.47
384,Sitka,87,US,1562094438,51,37.17,-99.65,88.0,1.01
385,Gornoye Loo,0,RU,1562094438,83,43.72,39.61,73.99,2.24
386,Sorland,40,NO,1562094438,71,67.67,12.69,50.0,9.17
387,Cam Ranh,40,VN,1562094438,62,11.92,109.15,84.2,11.41
388,Yeppoon,90,AU,1562094439,82,-23.13,150.74,60.8,5.82
389,Lompoc,1,US,1562094439,77,34.64,-120.46,82.99,6.93
390,Dunedin,100,NZ,1562094183,55,-45.87,170.5,55.0,5.99
391,Mount Isa,40,AU,1562094439,30,-20.73,139.49,55.4,11.41
392,Kamphaeng Phet,100,TH,1562094440,84,16.47,99.53,76.07,1.03
393,Kizema,99,RU,1562094440,89,61.11,44.83,56.27,3.22
394,Fethiye,0,TR,1562094163,78,36.62,29.12,77.0,8.05
395,Inongo,47,CD,1562094440,51,-1.93,18.29,82.37,2.64
396,Atar,0,MR,1562094440,7,20.52,-13.05,112.61,14.05
397,Sinegorye,72,RU,1562094441,82,62.09,150.53,52.67,7.4
398,Skibbereen,75,IE,1562094441,72,51.55,-9.27,59.0,14.99
399,Vernon,75,CA,1562094196,88,50.27,-119.27,66.99,4.7
400,Rumonge,0,BI,1562094441,55,-3.97,29.44,66.35,4.32
401,Abu Zabad,100,SD,1562094442,79,12.35,29.25,73.91,5.28
402,Merauke,85,ID,1562094443,81,-8.49,140.4,75.71,18.61
403,General Jose Eduvigis Diaz,90,PY,1562094443,72,-27.17,-58.42,60.8,2.8
404,Jardim,80,BR,1562094443,40,-21.48,-56.15,84.89,13.67
405,Srednekolymsk,100,RU,1562094443,62,67.46,153.71,52.85,15.26
406,Cururupu,74,BR,1562094443,62,-1.82,-44.87,86.33,6.73
407,Makakilo City,40,US,1562094444,65,21.35,-158.09,82.99,8.05
408,Sechura,45,PE,1562094363,87,-5.56,-80.82,65.09,12.93
409,Tuatapere,100,NZ,1562094444,86,-46.13,167.69,46.0,1.99
410,Port Lincoln,0,AU,1562094445,74,-34.72,135.86,58.07,6.31
411,Udachnyy,75,RU,1562094296,75,66.42,112.4,42.8,8.95
412,Kameyama,75,JP,1562094445,94,34.86,136.45,73.99,1.12
413,Rayong,40,TH,1562094446,78,12.68,101.28,89.01,6.93
414,Sorong,99,ID,1562094446,95,-0.86,131.25,74.63,5.06
415,Capitao Poco,91,BR,1562094327,80,-1.75,-47.06,84.35,4.27
416,Padang,94,ID,1562094446,75,-0.92,100.36,82.73,4.34
417,Nhulunbuy,92,AU,1562094447,93,-12.18,136.78,64.4,9.24
418,Gagret,0,IN,1562094447,41,31.66,76.06,92.27,4.47
419,Kamenka,36,MD,1562094447,88,48.03,28.7,69.01,8.16
420,Maldonado,0,UY,1562094326,66,-34.91,-54.96,53.6,11.41
421,Ballina,75,IE,1562094447,66,54.11,-9.15,60.01,6.93
422,Teluknaga,20,ID,1562094448,74,-6.1,106.64,79.0,5.82
423,Bubaque,43,GW,1562094448,83,11.28,-15.83,80.93,13.53
424,Zhezkazgan,31,KZ,1562094448,46,47.8,67.71,65.09,8.81
425,Esik,40,KZ,1562094448,38,43.36,77.47,77.0,6.71
426,Russell,20,US,1562094449,48,38.9,-98.86,91.0,11.41
427,Batagay-Alyta,100,RU,1562094449,94,67.8,130.41,35.39,8.14
428,Vincennes,0,FR,1562094449,40,48.85,2.44,75.0,12.75
429,Madera,1,US,1562094182,26,36.96,-120.06,87.01,9.17
430,Zheleznodorozhnyy,0,RU,1562094449,77,55.75,38.0,64.99,6.71
431,Bilma,21,NE,1562094450,13,18.69,12.92,94.79,0.56
432,Atambua,9,ID,1562094450,78,-9.11,124.89,78.23,13.24
433,Kaeo,96,NZ,1562094450,96,-35.1,173.78,61.0,4.0
434,Conceicao do Araguaia,0,BR,1562094450,28,-8.26,-49.26,94.25,5.68
435,Berezniki,96,RU,1562094451,94,59.41,56.8,61.0,4.0
436,Skjervoy,75,NO,1562094451,87,70.03,20.97,50.0,3.36
437,Bowen,0,AU,1562094451,93,-20.01,148.25,62.01,3.36
438,General Roca,0,AR,1562094177,47,-39.03,-67.58,55.4,25.28
439,Turka,2,RU,1562094451,70,52.95,108.22,48.17,5.21
440,Rosita,51,NI,1562094452,59,13.92,-84.4,86.15,5.64
441,Genhe,41,CN,1562094452,74,50.78,121.52,53.21,1.77
442,Gizo,0,IL,1562094452,61,31.8,34.94,82.0,3.36
443,Maudaha,21,IN,1562094452,34,25.68,80.11,99.11,10.04
444,Lillooet,1,CA,1562094453,60,50.69,-121.94,69.8,10.29
445,Simga,90,IN,1562094454,94,21.63,81.7,77.0,13.87
446,Zambezi,0,ZM,1562094454,34,-13.55,23.12,62.93,4.74
447,Kharagpur,81,IN,1562094455,82,22.34,87.3,80.39,9.57
448,Luanda,20,AO,1562094455,83,-8.83,13.24,71.6,4.7
449,Les Herbiers,0,FR,1562094455,39,46.87,-1.01,80.6,8.05
450,Grand Gaube,40,MU,1562094455,68,-20.01,57.66,71.6,11.41
451,Aberdeen,75,US,1562094381,82,46.98,-123.82,64.0,11.41
452,Menongue,29,AO,1562094456,28,-14.66,17.68,58.43,4.72
453,Khatra,100,IN,1562094456,88,22.98,86.85,79.85,7.56
454,Tilichiki,88,RU,1562094456,85,60.47,166.1,49.97,4.07
455,Tessalit,50,ML,1562094456,10,20.2,1.01,106.31,17.22
456,Maniitsoq,3,GL,1562094364,77,65.42,-52.9,41.51,10.2
457,Teya,75,MX,1562094457,59,21.05,-89.07,95.0,11.41
458,Panlaitan,100,PH,1562094457,70,12.12,119.85,84.71,10.38
459,Preeceville,19,CA,1562094457,65,51.95,-102.67,58.79,20.6
460,Abu Kamal,0,SY,1562094457,13,34.45,40.92,87.95,5.66
461,Naze,66,NG,1562094458,91,5.43,7.07,77.15,5.44
462,Cefalu,1,IT,1562094458,72,38.04,14.02,82.99,1.01
463,Bud,75,NO,1562094458,87,62.91,6.91,46.4,26.4
464,Dzilam Gonzalez,16,MX,1562094458,83,21.28,-88.93,80.39,16.35
465,Guayaquil,75,EC,1562094459,65,-2.18,-79.88,84.0,6.93
466,Gazli,20,UZ,1562094459,24,40.13,63.45,76.07,8.79
467,Mezen,35,RU,1562094459,65,65.85,44.24,62.93,5.64
468,Nerchinskiy Zavod,24,RU,1562094459,63,51.31,119.61,54.29,2.19
469,Qaqortoq,75,GL,1562094460,66,60.72,-46.03,50.0,10.29
470,Bequimao,20,BR,1562094460,58,-2.45,-44.78,86.0,13.87
471,Palmerston,65,AU,1562094460,88,-12.49,130.99,68.0,1.12
472,Boueni,0,YT,1562094460,73,-12.9,45.08,75.2,8.05
473,Tecoanapa,90,MX,1562094461,74,16.99,-99.26,87.8,5.82
474,Jinchang,60,CN,1562094461,39,38.52,102.19,69.95,2.28
475,Rach Gia,75,VN,1562094461,100,10.02,105.08,78.8,5.82
476,Vao,75,EE,1562094461,79,59.1,26.19,58.61,9.06
477,Sundumbili,0,ZA,1562094462,71,-29.13,31.4,55.4,2.24
478,Naujamiestis,40,LT,1562094462,71,55.69,24.15,57.2,18.34
479,Horodnytsya,74,UA,1562094462,77,50.81,27.32,66.35,8.34
480,Abashiri,27,JP,1562094462,84,44.01,144.25,57.0,1.01
481,Trinidad,20,BO,1562094463,66,-14.83,-64.9,84.2,9.17
482,Port Arthur,40,US,1562094463,88,29.9,-93.93,87.8,3.36
483,Novobureyskiy,72,RU,1562094464,94,49.8,129.88,56.81,3.09
484,Portobelo,40,PA,1562094464,79,9.55,-79.65,84.99,3.36
485,Tucurui,84,BR,1562094464,41,-3.77,-49.67,91.55,5.39
486,Son La,97,VN,1562094276,95,21.32,103.9,68.87,1.48
487,Batticaloa,100,LK,1562094465,71,7.71,81.69,78.41,0.81
488,Shawinigan,75,CA,1562094300,54,46.54,-72.75,84.0,12.75
489,Gambela,100,ET,1562094465,87,8.25,34.59,68.51,3.4
490,Vanimo,30,PG,1562094466,78,-2.67,141.3,80.93,6.78
491,Gurupi,22,BR,1562094467,21,-11.73,-49.07,93.35,4.74
492,Feijo,90,EC,1562094467,83,-3.63,-79.92,89.6,5.82
493,Agirish,0,RU,1562094467,56,61.92,63.02,66.35,7.49
494,Whitecourt,75,CA,1562094435,48,54.14,-115.68,60.8,17.22
495,Mangaldai,75,IN,1562094468,94,26.43,92.03,82.4,2.08
496,Codrington,90,AU,1562094468,100,-28.95,153.24,55.4,3.04
497,Maningrida,78,AU,1562094468,92,-12.05,134.23,59.87,5.53
498,Brenham,75,US,1562094399,59,30.17,-96.4,93.2,3.36
499,Bandundu,39,CD,1562094468,38,-3.32,17.38,81.65,1.48
500,Santa Maria,0,BR,1562094468,26,-16.02,-48.01,82.4,9.17
501,Chernenko,10,UA,1562094469,61,47.23,37.74,76.79,11.48
502,Lianzhou,100,CN,1562094469,90,24.79,112.38,72.11,3.53
503,Licheng,79,CN,1562094469,85,24.5,110.4,76.25,4.21
504,Ino,100,JP,1562094470,95,33.55,133.43,63.65,2.51
505,Kruisfontein,79,ZA,1562094470,44,-34.0,24.73,61.31,12.3
506,Tornio,90,FI,1562094470,87,61.12,27.27,59.0,2.24
507,Portland,40,US,1562094337,42,43.66,-70.25,90.0,8.05
508,Koumac,10,NC,1562094470,67,-20.56,164.28,72.65,8.05
509,Shahreza,0,IR,1562094471,37,32.01,51.87,72.83,7.63
510,Sioux Lookout,20,CA,1562094471,50,50.1,-91.92,78.8,6.93
511,Ambulu,48,ID,1562094471,88,-8.35,113.61,76.43,5.86
512,New Richmond,1,CA,1562094471,68,48.17,-65.87,66.2,4.7
513,Jinji,54,CN,1562094471,95,22.16,112.49,77.69,5.26
514,Beruwala,100,LK,1562094220,81,6.48,79.98,83.27,14.99
515,Meulaboh,100,ID,1562094472,76,4.14,96.13,82.73,8.68
516,Pontes e Lacerda,0,BR,1562094472,27,-15.23,-59.33,92.27,10.49
517,Penzance,0,GB,1562094472,67,50.12,-5.53,63.0,14.99
518,Noshiro,82,JP,1562094473,95,40.21,140.05,59.69,5.86
519,Buala,36,SB,1562094473,83,-8.15,159.59,78.77,7.78
520,Evensk,100,RU,1562094473,97,61.92,159.24,47.45,6.26
521,Fernley,1,US,1562094474,15,39.61,-119.25,80.01,8.05
522,Amapa,75,HN,1562094474,46,15.09,-87.97,93.2,10.29
523,Mbandaka,55,CD,1562094474,63,0.05,18.26,79.31,1.88
524,Mlonggo,12,ID,1562094474,77,-6.53,110.7,79.85,10.54
525,Elda,20,ES,1562094475,78,38.48,-0.8,82.4,9.17
526,Limoges,0,FR,1562094475,53,45.84,1.26,81.0,6.93
527,Great Falls,75,US,1562094475,71,47.5,-111.29,57.99,8.37
